,coef,std err,t,P>|t|,[0.025,0.975]
adrg_VJ1,-15.7231,0.229,-68.531,0,-16.173,-15.273
adrg_CX1,-15.7225,5.266,-2.986,0.003,-26.043,-5.402
adrg_BJ1,-15.6511,0.491,-31.906,0,-16.613,-14.69
adrg_OR1,-15.6462,0.227,-68.953,0,-16.091,-15.201
adrg_XJ1,-15.6279,0.341,-45.889,0,-16.295,-14.96
adrg_HZ3,-15.6271,1.215,-12.859,0,-18.009,-13.245
adrg_ZK1,-15.6259,5.269,-2.965,0.003,-25.953,-5.298
adrg_HJ1,-15.62,0.575,-27.165,0,-16.747,-14.493
adrg_EB1,-15.6128,0.275,-56.758,0,-16.152,-15.074
adrg_BZ1,-15.6068,0.595,-26.211,0,-16.774,-14.44
adrg_XZ1,-15.606,2.248,-6.941,0,-20.013,-11.199
adrg_HB1,-15.5896,0.648,-24.062,0,-16.859,-14.32
adrg_FF3,-15.5372,0.304,-51.116,0,-16.133,-14.941
adrg_LR1,-15.4665,0.229,-67.524,0,-15.915,-15.018
adrg_KZ1,-15.4625,0.615,-25.146,0,-16.668,-14.257
adrg_FE4,-15.4041,3.726,-4.134,0,-22.708,-8.1
adrg_IG1,-15.4006,0.257,-59.929,0,-15.904,-14.897
adrg_HS1,-15.3673,0.566,-27.168,0,-16.476,-14.259
adrg_VS2,-15.285,0.412,-37.077,0,-16.093,-14.477
adrg_GE1,-15.2734,0.333,-45.837,0,-15.926,-14.62
adrg_KS1,-15.2621,0.247,-61.7,0,-15.747,-14.777
adrg_TV1,-15.2085,1.248,-12.185,0,-17.655,-12.762
adrg_FN3,-15.2046,1.251,-12.156,0,-17.656,-12.753
adrg_NA1,-15.1555,0.716,-21.165,0,-16.559,-13.752
adrg_QC1,-15.0886,0.909,-16.598,0,-16.87,-13.307
adrg_OJ1,-15.0625,1.763,-8.543,0,-18.518,-11.607
adrg_CD2,-14.9917,0.293,-51.096,0,-15.567,-14.417
adrg_IH1,-14.9833,0.617,-24.282,0,-16.193,-13.774
adrg_FV2,-14.9502,1.083,-13.807,0,-17.072,-12.828
adrg_FU2,-14.9462,0.625,-23.905,0,-16.172,-13.721
adrg_GJ1,-14.9462,0.533,-28.028,0,-15.991,-13.901
adrg_IU1,-14.935,0.407,-36.671,0,-15.733,-14.137
adrg_HD2,-14.9188,0.615,-24.262,0,-16.124,-13.714
adrg_KJ1,-14.9145,1.811,-8.235,0,-18.464,-11.365
adrg_FK1,-14.9097,1.27,-11.735,0,-17.4,-12.42
adrg_RU1,-14.8042,0.219,-67.696,0,-15.233,-14.376
adrg_BU2,-14.7817,1.061,-13.926,0,-16.862,-12.701
adrg_BW1,-14.7454,1.593,-9.258,0,-17.867,-11.624
adrg_JR1,-14.7414,0.995,-14.81,0,-16.692,-12.791
adrg_BK1,-14.7182,0.653,-22.555,0,-15.997,-13.439
adrg_ND1,-14.6886,0.228,-64.32,0,-15.136,-14.241
adrg_OB2,-14.6865,0.234,-62.812,0,-15.145,-14.228
adrg_OD1,-14.6653,1.559,-9.405,0,-17.722,-11.609
adrg_HC2,-14.599,0.923,-15.819,0,-16.408,-12.79
adrg_NC1,-14.5789,0.211,-69.127,0,-14.992,-14.166
adrg_RA3,-14.5299,2.154,-6.744,0,-18.753,-10.307
adrg_FT2,-14.5033,0.265,-54.701,0,-15.023,-13.984
adrg_VB1,-14.4211,0.494,-29.21,0,-15.389,-13.453
adrg_LS2,-14.3961,1.811,-7.951,0,-17.945,-10.847
adrg_FW1,-14.3692,0.617,-23.296,0,-15.578,-13.16
adrg_OZ1,-14.3619,0.175,-81.854,0,-14.706,-14.018
adrg_MR1,-14.3322,0.639,-22.413,0,-15.586,-13.079
adrg_PT1,-14.2909,0.287,-49.806,0,-14.853,-13.729
adrg_GV2,-14.2786,0.677,-21.104,0,-15.605,-12.953
adrg_UR1,-14.2526,2.358,-6.044,0,-18.874,-9.631
adrg_WS1,-14.2347,3.341,-4.26,0,-20.784,-7.686
adrg_NB1,-14.2132,0.375,-37.855,0,-14.949,-13.477
adrg_VZ1,-14.1707,0.8,-17.704,0,-15.739,-12.602
adrg_NR1,-14.1402,0.434,-32.614,0,-14.99,-13.29
adrg_IH2,-14.1115,0.442,-31.918,0,-14.978,-13.245
adrg_LA1,-14.0704,0.394,-35.704,0,-14.843,-13.298
adrg_RT1,-14.07,0.623,-22.592,0,-15.291,-12.849
adrg_EB2,-14.0684,0.95,-14.807,0,-15.931,-12.206
adrg_RK1,-14.0662,2.486,-5.657,0,-18.939,-9.193
adrg_FS2,-14.0487,0.215,-65.206,0,-14.471,-13.626
adrg_NJ1,-13.9958,0.723,-19.367,0,-15.412,-12.579
adrg_QB1,-13.9923,0.625,-22.389,0,-15.217,-12.767
adrg_PT2,-13.98,0.367,-38.109,0,-14.699,-13.261
adrg_FS1,-13.9725,0.66,-21.173,0,-15.266,-12.679
adrg_HC4,-13.9704,0.348,-40.122,0,-14.653,-13.288
adrg_HS2,-13.9113,0.655,-21.227,0,-15.196,-12.627
adrg_IH3,-13.8321,0.645,-21.46,0,-15.095,-12.569
adrg_LC1,-13.8291,0.272,-50.82,0,-14.362,-13.296
adrg_LE1,-13.8185,0.312,-44.244,0,-14.431,-13.206
adrg_ZR1,-13.7884,1.868,-7.38,0,-17.45,-10.126
adrg_MC1,-13.7594,0.38,-36.236,0,-14.504,-13.015
adrg_FU3,-13.7365,0.527,-26.076,0,-14.769,-12.704
adrg_HD1,-13.6656,2.822,-4.843,0,-19.196,-8.135
adrg_FF2,-13.6616,1.415,-9.653,0,-16.436,-10.888
adrg_DB1,-13.6378,1.671,-8.161,0,-16.913,-10.362
adrg_GX1,-13.5575,0.693,-19.571,0,-14.915,-12.2
adrg_HC1,-13.5474,3.045,-4.448,0,-19.516,-7.578
adrg_DG3,-13.5334,1.354,-9.992,0,-16.188,-10.879
adrg_OB1,-13.4752,0.807,-16.693,0,-15.057,-11.893
adrg_ZB1,-13.4652,2.489,-5.41,0,-18.343,-8.587
adrg_GC3,-13.4398,0.57,-23.587,0,-14.557,-12.323
adrg_DS1,-13.4166,0.639,-20.997,0,-14.669,-12.164
adrg_JC1,-13.3579,1.187,-11.255,0,-15.684,-11.032
adrg_LB1,-13.354,0.318,-42.028,0,-13.977,-12.731
adrg_TT2,-13.3443,4.3,-3.103,0.002,-21.773,-4.915
adrg_NE1,-13.3231,0.31,-43.003,0,-13.93,-12.716
adrg_BV2,-13.3193,1.215,-10.963,0,-15.701,-10.938
adrg_GB3,-13.3174,0.399,-33.393,0,-14.099,-12.536
adrg_OU1,-13.3166,0.784,-16.996,0,-14.852,-11.781
adrg_TT1,-13.2862,3.332,-3.988,0,-19.816,-6.756
